SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Account Receivable & Prepayments ,11120304,ADVANCE PAYMENT INSURANCE,12388.251,0,2946.221,9442.03,,,,,,,,
 Account Receivable & Prepayments ,11120305,IMAD SULTAN,800.804,0,0,800.804,,,,,,,,
 Account Receivable & Prepayments ,11120306,HUSSAIN JAWAD,70.242,0,0,70.242,,,,,,,,
 Amount due from related parties ,11120307,MUSTAFA SULTAN,14032.321,0,0,14032.321,,,,,,,,
 Amount due from related parties ,11120308,TAWFIQ SULTAN,5655.103,0,0,5655.103,,,,,,,,
 Account Receivable & Prepayments ,11120309,MOHAMMED TAWFIQ SULTAN,16310.561,0,0,16310.561,,,,,,,,
 Account payables and accruals ,11120326,PREPAID LISTING FEES,-39984,0,0,-39984,,,,,,,,
 Account Receivable & Prepayments ,11120328,PREPAID MARKET RENTALS,58456.08,12983,15533,55906.08,,,,,,,,
 Amount due to related parties ,11120401,BUSTAN NATIONAL RECHARGE,-343097.307,73169.91,27821.595,-297748.992,,,,,,,,
 Amount due from related parties ,11120403,SULTAN FURNISHING CO.,2471,0,0,2471,,,,,,,,
 Account payables and accruals ,11120405,TOWEL INTERNATIONAL GROUB,228.22,0,0,228.22,,,,,,,,
 Amount due from related parties ,11120408,W.J.TOWELL - ENHANCE UAE,-0.004,0,0,-0.004,,,,,,,,
 Amount due to related parties ,11120412,BUSTAN WATANIYA-DEBIT NOTE,-614.462,9.976,0,-604.486,,,,,,,,
 Amount due from related parties ,11120414,GOOD LIFE TRADING CO.,121512.651,8210,15000,114722.651,,,,,,,,
 Loan to Relate Party ,11120415,LOAN TO FERGULF KUWAIT GEN.TRAD.W.L.L,749700,0,0,749700,,,,,,,,
 Amount due from related parties ,11120417,BRAND AID,116211.579,175,90000,26386.579,,,,,,,,
 Amount due to related parties ,11120419,SULTAN INTERNATIONAL PRNTING,-72277.254,0,0,-72277.254,,,,,,,,
 Amount due from related parties ,11120420,BRAND AID DESIGN & PRODUCTION DEPT,75280.2,300,10000,65580.2,,,,,,,,
 Amount due from related parties ,11120421,KUWAIT UNITED CHEMALLOYS MANUFACTURING CO. (KUCM),-225,0,0,-225,,,,,,,,
 Account Receivable & Prepayments ,21702559,RAJESH DAYANAND KEDAR - WH - 4066,7.5,0,0,7.5,,,,,,,,
 Account Receivable & Prepayments ,100300975,MAHDY TAMAH MOHAMMED  - HR - 1015,337.5,22.5,0,360,,,,,,,,
 Account Receivable & Prepayments ,110700048,NABIL MUSCATI - GEN - 2153,3746.3,0,0,3746.3,,,,,,,,
 Account Receivable & Prepayments ,122401112,KHALED AYED EID ALDHUFEERI - GEN - 1027,31.5,0,0,31.5,,,,,,,,
 Account Receivable & Prepayments ,130601868,NOURAH D SH A ALAJMI - 1043,400,200,600,0,,,,,,,,
 Account Receivable & Prepayments ,131300262,NIDAL MOHAMAD YASIN - ITD - 1009,152.744,0,0,152.744,,,,,,,,
 Account Receivable & Prepayments ,140101133,KHALEID AYADA HAMAAD - HR - 1014,-718.8,0,0,-718.8,,,,,,,,
 Account Receivable & Prepayments ,140700494A,MOHAMMAD AHMAD SALEEM SHAABAN - 2380,-75,250,0,175,,,,,,,,
 Account Receivable & Prepayments ,150902895,SAJEEVAN - FIN - 1008,0.829,0,0,0.829,,,,,,,,
 Account Receivable & Prepayments ,152900546,MASHAEL MUDHI AWADH - GEN(KWT - 1025,-110,0,0,-110,,,,,,,,
 Account Receivable & Prepayments ,162501109,MANAHEL JASSIM HASAN SADEQ GEN(KWT)- 1036,-130,0,0,-130,,,,,,,,
 Account Receivable & Prepayments ,190903281,MARAE  ALI GOMAA - GIS - 4023,725,0,0,725,,,,,,,,
 Account Receivable & Prepayments ,192600073,ALI CHECHEMI - GEN - 2155,-330.631,0,0,-330.631,,,,,,,,
 Account Receivable & Prepayments ,261501983,SADEK AL-SHACK ALI  - LOG - 3009,1292.25,0,5,1287.25,,,,,,,,
 Account Receivable & Prepayments ,280201455,MOHAMMAD FAZLE HAQUE ASHRAFI - 2297,-140,0,2.693,-142.693,,,,,,,,
 Account Receivable & Prepayments ,400109877,AHMED RAMADAN ABDUL NASER MOTAWIE - CA - 2217,0,0,14,-14,,,,,,,,
 Account Receivable & Prepayments ,400205173,IBRAHEM ABD AL HAFEEZ - CA - 2039,-257.548,0,0,-257.548,,,,,,,,
 Account Receivable & Prepayments ,400903227,NAZIMA PASH FATEH MOHAMMED - CA - 2112,12.497,0,0,12.497,,,,,,,,
 Account Receivable & Prepayments ,410116776,MOHAMMAD ALDAYREE - CA - 2024,-86.739,0,0,-86.739,,,,,,,,
 Account Receivable & Prepayments ,410503039,SAYED FATHE ZAID - CA - 2040,1.411,0,0,1.411,,,,,,,,
 Account Receivable & Prepayments ,410505579,AHMED FAHMY HASSAN MOHAMMED - CA - 2178,-2.43,0,75,-77.43,,,,,,,,
 Account Receivable & Prepayments ,411011325,ADHAM SALAHELDIN AHMED ISMAIL - CA - 2215,-132.54,0,0,-132.54,,,,,,,,
 Account Receivable & Prepayments ,411901532,REFAT MOKHTAR ALERYAN  - CA - 2029,-9.01,0,0,-9.01,,,,,,,,
 Account Receivable & Prepayments ,421404572,MOHAMOUD KOTB AHMED EI - CA - 2103,0.4,188,188,0.4,,,,,,,,
 Account Receivable & Prepayments ,422004585,AHMED JAMAL ALI AHMED - CA - 2198,-138.87,0,0,-138.87,,,,,,,,
 Account Receivable & Prepayments ,422203149,ADEL SALAH MOHAMED ANTAR - CA - 2144,2.93,0,0,2.93,,,,,,,,
 Account Receivable & Prepayments ,422702694,MOHMOUD MARIEH MAHMOUD - CA - 2026,-134.56,0,0,-134.56,,,,,,,,
 Account Receivable & Prepayments ,422800678,SAAD  MESSAYER - CA - 2007,991,0,0,991,,,,,,,,
 Account Receivable & Prepayments ,428510050,KARAM YOUNIS REYAD EITAHER-CA-2248,-14.55,0,0,-14.55,,,,,,,,
 Account Receivable & Prepayments ,430302097,ESAM ADEL  MAHAMED - CA - 2054,0.52,0,0,0.52,,,,,,,,
 Account Receivable & Prepayments ,431702537,Amro Ahmed Younis Bekhit - CA - 2163,0.396,0,0,0.396,,,,,,,,
 Account Receivable & Prepayments ,431804635,MOHAMED GAMAL KAMAL SHEHATA - CA - 2233,-127,0,0,-127,,,,,,,,
 Account Receivable & Prepayments ,432503023,NASER IBRAHEM MORSY - CA - 2049,-306.84,0,0,-306.84,,,,,,,,
 Account Receivable & Prepayments ,440102252,HUSSAIN HAFEZ AMIN - CA - 2036,-2.88,0,0,-2.88,,,,,,,,
 Account Receivable & Prepayments ,451006288,SAHEER BOMANE NJALORAT - CA - 2069,-100.81,0,0,-100.81,,,,,,,,
 Account Receivable & Prepayments ,451305582,Abhilash Komalam Vikram - CA - 2149,-18,0,0,-18,,,,,,,,
